sample_id,true_class,pred_class,correct,confidence,shap_instability,jaccard_sl,xcs,flag_review
0,0,0,True,1.0,1.0,0.0,0.4,True
1,0,0,True,1.0,0.9506999850273132,0.0,0.4147999882698059,True
2,0,0,True,1.0,1.0,0.0,0.4,True
3,0,0,True,1.0,0.9930999875068665,0.0,0.40209999680519104,True
4,0,0,True,0.9914,1.0,0.0,0.3966,True
5,0,0,True,1.0,1.0,0.0,0.4,True
6,0,0,True,0.9978,0.8234999775886536,0.0,0.4519999921321869,True
7,1,0,False,0.7262,1.0,0.0,0.2905,True
8,1,0,False,0.8739,0.8881000280380249,0.0,0.3831000030040741,True
9,1,0,False,0.7262,1.0,0.0,0.2905,True
10,1,1,True,0.9952,0.7401000261306763,0.0,0.47609999775886536,True
11,1,1,True,0.9982,0.792900025844574,0.0,0.46140000224113464,True
12,1,0,False,0.7262,1.0,0.0,0.2905,True
13,1,1,True,0.9982,0.7983999848365784,0.0,0.45980000495910645,True
14,2,2,True,0.9994,1.0,0.0,0.3997,True
15,2,2,True,1.0,1.0,0.0,0.4,True
16,2,2,True,0.9999,0.732200026512146,0.0,0.48030000925064087,True
17,2,2,True,0.9998,1.0,0.0,0.3999,True
18,2,2,True,1.0,1.0,0.0,0.4,True
19,2,2,True,1.0,1.0,0.0,0.4,True
20,2,2,True,0.9999,1.0,0.0,0.3999,True
21,3,3,True,0.9956,1.0,0.0,0.3983,True
22,3,3,True,0.9835,1.0,0.0,0.3934,True
23,3,3,True,0.6443,1.0,0.0,0.2577,True
24,3,3,True,0.9693,0.7466999888420105,0.0,0.46369999647140503,True
25,3,3,True,0.9995,1.0,0.0,0.3998,True
26,3,3,True,0.9989,1.0,0.0,0.3996,True
27,3,3,True,0.9991,1.0,0.0,0.3996,True
28,4,4,True,0.9999,1.0,0.0,0.3999,True
29,4,4,True,0.9998,1.0,0.0,0.3999,True
30,4,4,True,0.9997,1.0,0.0,0.3999,True
31,4,4,True,0.9999,1.0,0.0,0.4,True
32,4,4,True,0.9997,1.0,0.0,0.3999,True
33,4,4,True,0.9995,1.0,0.0,0.3998,True
34,4,4,True,0.9999,1.0,0.0,0.3999,True
35,5,5,True,0.7918,1.0,0.0,0.3167,True
36,5,5,True,0.6767,0.892799973487854,0.0,0.3028999865055084,True
37,5,5,True,0.9688,0.6956999897956848,0.0,0.4787999987602234,True
38,5,5,True,0.7918,1.0,0.0,0.3167,True
39,5,5,True,0.9904,1.0,0.0,0.3962,True
40,5,5,True,0.7048,1.0,0.0,0.2819,True
41,5,5,True,0.7918,1.0,0.0,0.3167,True
42,6,6,True,0.9922,0.8603000044822693,0.0,0.43880000710487366,True
43,6,6,True,0.9785,0.7146999835968018,0.0,0.47699999809265137,True
44,6,6,True,0.9922,0.8651999831199646,0.0,0.4372999966144562,True
45,6,6,True,0.966,0.800000011920929,0.0,0.446399986743927,True
46,6,6,True,0.9919,1.0,0.0,0.3967,True
47,6,6,True,0.9799,0.9200999736785889,0.0,0.41589999198913574,True
48,6,6,True,0.9799,0.8095999956130981,0.0,0.44909998774528503,True
49,7,7,True,0.9973,1.0,0.0,0.3989,True
50,7,7,True,0.998,1.0,0.0,0.3992,True
51,7,7,True,0.9978,1.0,0.0,0.3991,True
52,7,7,True,0.9979,1.0,0.0,0.3992,True
53,7,7,True,0.9971,1.0,0.0,0.3988,True
54,7,7,True,0.9967,1.0,0.0,0.3987,True
55,7,7,True,0.9966,0.8133000135421753,0.0,0.4546999931335449,True
56,8,8,True,0.5602,1.0,0.0,0.2241,True
57,9,9,True,0.8227,0.7070000171661377,0.0,0.4169999957084656,True
58,9,9,True,0.9758,0.6607999801635742,0.0,0.4921000003814697,True
59,9,9,True,0.9677,0.8672999739646912,0.0,0.4268999993801117,True
60,9,9,True,0.9503,0.8756999969482422,0.0,0.4174000024795532,True
61,9,9,True,0.9936,0.7886000275611877,0.0,0.4609000086784363,True
62,9,9,True,0.9621,0.7305999994277954,0.0,0.4657000005245209,True
63,9,9,True,0.9609,1.0,0.0,0.3844,True
64,10,10,True,0.9992,1.0,0.0,0.3997,True
65,10,10,True,0.999,1.0,0.0,0.3996,True
66,10,10,True,0.988,1.0,0.0,0.3952,True
67,10,10,True,0.9991,1.0,0.0,0.3996,True
68,10,10,True,0.9991,1.0,0.0,0.3996,True
69,10,10,True,0.9992,1.0,0.0,0.3997,True
70,10,10,True,0.9991,1.0,0.0,0.3996,True
71,11,0,False,0.5774,1.0,0.0,0.231,True
72,11,11,True,0.9481,1.0,0.0,0.3792,True
73,11,11,True,0.6832,1.0,0.0,0.2733,True
74,11,0,False,0.9163,0.9793000221252441,0.0,0.3727000057697296,True
75,11,0,False,0.7209,0.785099983215332,0.0,0.35280001163482666,True
76,11,0,False,0.9963,0.928600013256073,0.0,0.41990000009536743,True
77,11,11,True,0.9291,0.9154999852180481,0.0,0.3970000147819519,True
78,12,0,False,0.9755,1.0,0.0,0.3902,True
79,13,13,True,0.6594,1.0,0.0,0.2638,True
80,13,0,False,0.3861,1.0,0.0,0.1544,True
81,13,0,False,0.8261,1.0,0.0,0.3304,True
82,13,13,True,0.4564,1.0,0.0,0.1825,True
83,13,0,False,0.9956,1.0,0.0,0.3983,True
84,13,11,False,0.5867,1.0,0.0,0.2347,True
85,13,11,False,0.587,1.0,0.0,0.2348,True
