sample_id,true_class,pred_class,correct,confidence,shap_instability,jaccard_sl,xcs,flag_review
0,Synthetic,Benign,N/A,0.427999,0.5,0.111111,0.354533,False
1,Synthetic,Benign,N/A,0.427999,0.5,0.25,0.3962,False
2,Synthetic,Benign,N/A,0.433414,0.369228,0.25,0.437597,False
3,Synthetic,Benign,N/A,0.427999,0.381994,0.111111,0.389935,False
4,Synthetic,Benign,N/A,0.435283,0.419954,0.111111,0.38146,False
5,Synthetic,Benign,N/A,0.427999,0.445069,0.428571,0.46625,False
6,Synthetic,Benign,N/A,0.427999,0.453222,0.111111,0.368567,False
7,Synthetic,Benign,N/A,0.715653,0.436269,0.25,0.530381,False
8,Synthetic,PortScan,N/A,0.463219,0.5,0.111111,0.368621,False
9,Synthetic,Benign,N/A,0.427999,0.424785,0.111111,0.377098,False
10,Synthetic,Benign,N/A,0.499183,0.489612,0.111111,0.386123,False
11,Synthetic,Benign,N/A,0.429774,0.472481,0.25,0.405165,False
12,Synthetic,Benign,N/A,0.644401,0.416365,0.25,0.507851,False
13,Synthetic,Benign,N/A,0.427999,0.350174,0.25,0.441148,False
14,Synthetic,Benign,N/A,0.557369,0.338643,0.25,0.496355,False
15,Synthetic,Benign,N/A,0.433414,0.476045,0.25,0.405552,False
16,Synthetic,Benign,N/A,0.558589,0.443283,0.111111,0.423784,False
17,Synthetic,Benign,N/A,0.427999,0.446818,0.0,0.337154,False
18,Synthetic,Benign,N/A,0.505628,0.459982,0.25,0.439256,False
19,Synthetic,PortScan,N/A,0.428096,0.5,0.111111,0.354572,False
20,Synthetic,Benign,N/A,0.647919,0.455365,0.428571,0.55113,False
21,Synthetic,Benign,N/A,0.718068,0.5,0.428571,0.565799,False
22,Synthetic,Benign,N/A,0.427999,0.39201,0.111111,0.38693,False
23,Synthetic,PortScan,N/A,0.443878,0.5,0.111111,0.360885,False
24,Synthetic,Benign,N/A,0.433414,0.386076,0.111111,0.390876,False
25,Synthetic,Benign,N/A,0.50628,0.5,0.111111,0.385845,False
26,Synthetic,Benign,N/A,0.427999,0.5,0.111111,0.354533,False
27,Synthetic,Benign,N/A,0.427999,0.417692,0.25,0.420892,False
28,Synthetic,Web Attack � Sql Injection,N/A,0.345919,0.075375,0.25,0.490755,False
29,Synthetic,Benign,N/A,0.564065,0.5,0.111111,0.408959,False
30,Synthetic,Benign,N/A,0.500974,0.45305,0.25,0.439475,False
31,Synthetic,Benign,N/A,0.425371,0.346296,0.25,0.44126,False
32,Synthetic,Benign,N/A,0.505628,0.394746,0.111111,0.417161,False
33,Synthetic,PortScan,N/A,0.463219,0.5,0.25,0.410288,False
34,Synthetic,Benign,N/A,0.427999,0.437458,0.111111,0.373296,False
35,Synthetic,Benign,N/A,0.5644,0.496555,0.111111,0.410127,False
36,Synthetic,PortScan,N/A,0.428096,0.5,0.111111,0.354572,False
37,Synthetic,Benign,N/A,0.394155,0.372551,0.25,0.420897,False
38,Synthetic,Benign,N/A,0.461198,0.372728,0.111111,0.405994,False
39,Synthetic,Benign,N/A,0.427999,0.5,0.111111,0.354533,False
40,Synthetic,PortScan,N/A,0.428096,0.5,0.111111,0.354572,False
41,Synthetic,Benign,N/A,0.72054,0.421386,0.25,0.5368,False
42,Synthetic,Benign,N/A,0.433414,0.430469,0.111111,0.377558,False
43,Synthetic,Web Attack � Sql Injection,N/A,0.367301,0.087909,0.0,0.420548,False
44,Synthetic,Benign,N/A,0.433414,0.5,0.111111,0.356699,False
45,Synthetic,Benign,N/A,0.499183,0.354598,0.25,0.468294,False
46,Synthetic,Benign,N/A,0.417984,0.483916,0.111111,0.355352,False
47,Synthetic,Benign,N/A,0.417984,0.5,0.25,0.392194,False
48,Synthetic,Benign,N/A,0.50628,0.371342,0.111111,0.424443,False
49,Synthetic,Benign,N/A,0.647919,0.5,0.428571,0.537739,False
50,Synthetic,Benign,N/A,0.408609,0.5,0.111111,0.346777,False
51,Synthetic,PortScan,N/A,0.431889,0.5,0.25,0.397755,False
52,Synthetic,Benign,N/A,0.427999,0.402518,0.111111,0.383778,False
53,Synthetic,Benign,N/A,0.427999,0.5,0.111111,0.354533,False
54,Synthetic,Benign,N/A,0.558589,0.5,0.25,0.448436,False
55,Synthetic,Benign,N/A,0.574651,0.382098,0.25,0.490231,False
56,Synthetic,Benign,N/A,0.707162,0.37423,0.25,0.545596,False
57,Synthetic,Benign,N/A,0.410497,0.343368,0.111111,0.394522,False
58,Synthetic,Benign,N/A,0.508941,0.493489,0.111111,0.388863,False
59,Synthetic,Web Attack � Sql Injection,N/A,0.345428,0.122458,0.111111,0.434767,False
60,Synthetic,Web Attack � Sql Injection,N/A,0.370012,0.078588,0.25,0.499429,False
61,Synthetic,Benign,N/A,0.54627,0.381761,0.25,0.47898,False
62,Synthetic,Benign,N/A,0.652805,0.367533,0.111111,0.484196,False
63,Synthetic,Benign,N/A,0.682468,0.437064,0.428571,0.570439,False
64,Synthetic,Benign,N/A,0.427999,0.369801,0.25,0.435259,False
65,Synthetic,Benign,N/A,0.427999,0.5,0.111111,0.354533,False
66,Synthetic,Benign,N/A,0.427999,0.398922,0.111111,0.384857,False
67,Synthetic,Benign,N/A,0.427999,0.486393,0.25,0.400282,False
68,Synthetic,PortScan,N/A,0.423156,0.5,0.25,0.394263,False
69,Synthetic,Benign,N/A,0.375317,0.455402,0.0,0.313506,False
70,Synthetic,Benign,N/A,0.427999,0.483387,0.0,0.326184,False
71,Synthetic,Benign,N/A,0.500629,0.405709,0.25,0.453539,False
72,Synthetic,Benign,N/A,0.50628,0.427327,0.111111,0.407647,False
73,Synthetic,Benign,N/A,0.427999,0.5,0.25,0.3962,False
74,Synthetic,Benign,N/A,0.688516,0.418193,0.25,0.524949,False
75,Synthetic,Benign,N/A,0.54627,0.407406,0.25,0.471286,False
76,Synthetic,Benign,N/A,0.427999,0.467018,0.25,0.406094,False
77,Synthetic,Benign,N/A,0.512503,0.452794,0.111111,0.402496,False
78,Synthetic,Benign,N/A,0.427999,0.423686,0.25,0.419094,False
79,Synthetic,Benign,N/A,0.50628,0.436779,0.111111,0.404811,False
80,Synthetic,Web Attack � Sql Injection,N/A,0.356574,0.088743,0.111111,0.44934,False
81,Synthetic,Benign,N/A,0.417984,0.422768,0.25,0.415363,False
82,Synthetic,Web Attack � Sql Injection,N/A,0.387656,0.107981,0.25,0.497668,False
83,Synthetic,Benign,N/A,0.643445,0.415324,0.25,0.507781,False
84,Synthetic,Benign,N/A,0.427999,0.433286,0.111111,0.374547,False
85,Synthetic,Benign,N/A,0.427999,0.465426,0.111111,0.364905,False
86,Synthetic,Web Attack � Sql Injection,N/A,0.370012,0.134426,0.25,0.482677,False
87,Synthetic,PortScan,N/A,0.463219,0.5,0.111111,0.368621,False
88,Synthetic,Benign,N/A,0.424603,0.465146,0.111111,0.363631,False
89,Synthetic,Benign,N/A,0.427999,0.5,0.111111,0.354533,False
90,Synthetic,Benign,N/A,0.427999,0.395833,0.111111,0.385783,False
91,Synthetic,Benign,N/A,0.427999,0.5,0.111111,0.354533,False
92,Synthetic,Benign,N/A,0.652805,0.395286,0.25,0.517536,False
93,Synthetic,Benign,N/A,0.423331,0.443698,0.111111,0.369556,False
94,Synthetic,Benign,N/A,0.50628,0.423715,0.25,0.450397,False
95,Synthetic,Benign,N/A,0.427999,0.438632,0.111111,0.372943,False
96,Synthetic,Benign,N/A,0.620974,0.431356,0.111111,0.452316,False
97,Synthetic,Web Attack � Sql Injection,N/A,0.362218,0.083059,0.0,0.41997,False
98,Synthetic,Benign,N/A,0.647919,0.392807,0.25,0.516326,False
99,Synthetic,Benign,N/A,0.427999,0.5,0.25,0.3962,False
