2026-04-04 16:16:48 | xai_ids.evaluation.adversarial | WARNING  | adversarial-robustness-toolbox not installed; skipping
2026-04-04 16:16:49 | xai_ids.evaluation.adversarial | INFO     | XCS on adversarial: clean=0.3380, adv=0.2980, drop=0.0400
2026-04-04 16:16:49 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 2/3 shared features
2026-04-04 16:16:49 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 2/2 shared features
2026-04-04 16:16:49 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 5/5 shared features
2026-04-04 16:16:49 | xai_ids.evaluation.cross_dataset | INFO     | Cross-dataset src -> tgt: ID acc=0.9550, CD acc=0.5700, drop=0.3850
2026-04-04 16:16:49 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 5/5 shared features
2026-04-04 16:16:49 | xai_ids.evaluation.cross_dataset | INFO     | Cross-dataset source -> target: ID acc=0.9550, CD acc=0.4600, drop=0.4950
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 5/5 features drifted (100.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/3 features drifted (0.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Split 1: train_acc=0.9100, test_acc=0.5100, f1=0.4972, drift_rate=0.0%
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Split 2: train_acc=0.9450, test_acc=0.4500, f1=0.4415, drift_rate=0.0%
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Split 3: train_acc=0.9367, test_acc=0.5600, f1=0.5436, drift_rate=0.0%
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 1/5 features drifted (20.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Split 4: train_acc=0.9325, test_acc=0.5500, f1=0.5475, drift_rate=20.0%
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Split 1: train_acc=0.9100, test_acc=0.5100, f1=0.4972, drift_rate=0.0%
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Split 2: train_acc=0.9450, test_acc=0.4500, f1=0.4415, drift_rate=0.0%
2026-04-04 16:16:49 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
