dataset,model,accuracy,f1,precision,recall
CICIDS2017,XGBoost,0.9964473783668019,0.996223230049998,0.9961480590491568,0.9964473783668019
CICIDS2017,RandomForest,0.9850840283201895,0.9889864998723162,0.9940841482816657,0.9850840283201895
CICIDS2017,LightGBM,0.9720073572022475,0.9811861049220256,0.9923851449857007,0.9720073572022475
CICIDS2017,Ensemble,0.9883342991760942,0.9911109435978434,0.994850005820661,0.9883342991760942
UNSWNB15,XGBoost,0.8045705733364034,0.7932515864693159,0.7905916512005119,0.8045705733364034
UNSWNB15,RandomForest,0.7718742804513009,0.7901997010160857,0.8224591293653928,0.7718742804513009
UNSWNB15,LightGBM,0.7679599355284366,0.7885434859189915,0.8262556863659332,0.7679599355284366
UNSWNB15,Ensemble,0.7915035689615473,0.802579417051468,0.8225297106255831,0.7915035689615473
CICIDS2018,XGBoost,0.9998,0.9997999798639914,0.9998000564812198,0.9998
CICIDS2018,RandomForest,0.9998,0.9998000201085621,0.9998001368925393,0.9998
CICIDS2018,LightGBM,0.9998,0.9997999798639914,0.9998000564812198,0.9998
CICIDS2018,Ensemble,0.9998,0.9997999798639914,0.9998000564812198,0.9998
